id,Category,Description,Usage Details,Include Tagset from ID,Add Tagset,Final Tagset,Hasty Choice,comments,Brick Concept
1,Damper,Outside air damper,Refers to a single outside air damper which is used for  economizing and ventilation purposes.,17,outside,outside damper actuator equip,,single outside air damper used for  economizing and ventilation.,Outside_Damper
2,Damper,Economizing damper,Denotes a damper in an outside duct that is used to reduce conditioning requirements,1,economizer,economizer outside damper actuator equip,,single outside air damper used for  economizing only.,Economizer_Damper
3,Damper,Outside air damper,"Denotes a damper in an outside duct used for ventilation purposes, not economizing.",1,ventilation,ventilation outside damper actuator equip,,single outside air damper used for ventilation only.,Damper
4,Discharge fan,On/off discharge fan,On/off fan used in the discharge air stream,18,discharge,discharge fan motor equip,TRUE,constant speed fan used in the discharge air stream,Discharge_Fan
5,Discharge fan,Variable speed discharge fan,Variable speed fan used in the discharge air stream,14,discharge,discharge vfd fan motor equip,TRUE,variable speed fan used in the discharge air stream,Discharge_Fan
6,Discharge fan,Multi-speed discharge fan,Stepped fan used in the discharge air stream,15,discharge,discharge multiStage numStages:N fan motor equip,FALSE,Stepped fan used in the discharge air stream,Discharge_Fan
7,Return fan,On/off return fan,On/off fan used in the return air stream,18,return,return fan motor equip,TRUE,constant speed fan used in the return air stream,Return_Fan
8,Return fan,Variable speed return fan,Variable speed fan used in the return air stream,14,return,return vfd fan motor equip,TRUE,Variable speed fan used in the return air stream,Return_Fan
9,Return fan,Multi-speed return fan,Stepped fan used in the return air stream,15,return,return multiStage numStages:N fan motor equip,FALSE,Stepped fan used in the return air stream,Return_Fan
10,Exhaust fan,On/off exhaust fan,On/off fan used in the exhaust air stream,18,exhaust,exhaust fan motor equip,TRUE,constant speed fan used for exhaust/relief air,Exhaust_Fan
11,Exhaust fan,Variable speed exhaust fan,Variable speed fan used in the exhaust air stream,14,exhaust,exhaust vfd fan motor equip,TRUE,variable speed fan used for exhaust/relief air,Exhaust_Fan
12,Exhaust fan,Multi-speed exhaust fan,Stepped fan used in the exhaust air stream,15,exhaust,exhaust multiStage numStages:N fan motor equip,FALSE,Stepped fan used exhaust/relief air,Exhaust_Fan
13,Fan,On/off fan,Used to describe a fan with on/off control capabilities.,16,singleSpeed,singleSpeed fan motor equip,,"fan with only on/off control capabilities, constant speed",Fan
14,Fan,Variable speed fan,"Used to describe a fan which receives a control signal as a percentage, typically 0% - 100%. This does not guarantee the fan has continuous operating points, i.e. it might only be able to ramp in 5% increments.",16,vfd,vfd fan motor equip,,"fan which receives a control signal as a percentage, typically 0% - 100%. ",Fan
15,Fan,Multi-speed fan,"Used to describe a fan with discrete steps. The numSteps parameter should define the number of discrete operating speeds for the fan motor, excluding off.",16,multiStage numStages:N,multiStage numStages:N fan motor equip,,"fan with discrete steps/speed. The numSteps parameter should define the number of discrete operating speeds for the fan motor, excluding off.",Fan
16,Fan,Fan,"General concept for thing that moves air.  For the sake of simplicity, we couple the fan and motor together.",18,fan motor,fan motor equip,,"General concept for thing that moves air.  For the sake of simplicity, we couple the fan and motor together.",Fan
17,Damper,Damper,"Actuator used to control the flow of air, actuator is for controlling the damper position",18,damper actuator,damper actuator equip,TRUE,device/movable plate used to contro/regulatel the rate of flow of air ,Damper
18,Equip,Equip,General equipment,,equip,equip,,General equipment,
19,Damper,Open/close damper,Used to describe a damper that is either open or closed,17,openClose,openClose damper actuator equip,,"damper with only two position control capabilities, that is either open or closed",Damper
20,Damper,Modulating damper,Used to describe a damper with 0%-100% control capabilities,17,continuous,continuous damper actuator equip,,damper with 0%-100% control capabilities,Damper
21,Coil,Coil,An apparatus used to transer energy between two substances.,18,coil,coil equip,,device/heat exchanger used to transfer heat energy to or from of an air stream,Coil
22,Heating coil,Heating coil,An apparatus used to transfer energy into a substance.,18,heatingCoil,heatingCoil equip,FALSE,"device/heat exchager used to transfer heat/heat energy into an air stream using hot water, steam,refriegrant or electric resistor as a heating medium",Heating_Coil
23,Cooling coil,Cooling coil,An apparatus used to transfer energy out of a substance.,18,coolingCoil,coolingCoil equip,FALSE,device used to reject heat out of an air stream using cold water or refrigerant as a cooling medium,Cooling_Coil
24,Heating coil,DX heating coil,"An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,dxHeating,dxHeating heatingCoil equip,FALSE,a heating coil using refriegrant as a heating medium,Heating_Coil
25,Cooling coil,DX cooling coil,"An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",23,dxCooling,dxCooling coolingCoil equip,TRUE,a cooling coil using cold refrigerant as a cooling medium,Cooling_Coil
26,Heating coil,N-Stage DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with a specific number of stages.,24,multiStage numStages:N,multiStage numStages:N dxHeating heatingCoil equip,FALSE,a dx heating coil that uses either a single refrigerant compressor with N speeds or N-number of constant speed refrigerant compressors. ,Heating_Coil
27,Cooling coil,N-Stage DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with a specific number of stages.,25,multiStage numStages:N,multiStage numStages:N dxCooling coolingCoil equip,FALSE,a dx cooling coil that uses either a single refrigerant compressor with N speeds or N-number of constant speed refrigerant compressors. ,Cooling_Coil
28,Heating coil,Hot water coil,"An apparatus used to transfer energy into a substance using hot water flowing through a coil.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,hotWaterHeating,hotWaterHeating heatingCoil equip,TRUE,a heating coil used to transfer heat energy using hot water as a heating medium(NA),Heating_Coil
29,Heating coil,Steam coil,"An apparatus used to transfer energy into a substance using steam flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,steamHeating,steamHeating heatingCoil equip,FALSE,a heating coil used to transfer heat energy using steam as a heating medium(NA),Heating_Coil
30,Cooling coil,Chilled water coil,"An apparatus used to transfer energy out of a substance using chilled water flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",23,chilledWaterCooling,chilledWaterCooling coolingCoil equip,TRUE,device used to reject heat out of an air stream using chilled water as a cooling medium(NA),Cooling_Coil
31,Heating coil,Electric heating coil,"An apparatus used to transfer energy into a substance using electric resistance. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,elecHeating,elecHeating heatingCoil equip,FALSE,a heating coil used to transfer heat energy using electric resistor as a heating medium,Heating_Coil
32,Heating coil,N-Stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with a specific number of stages.,31,multiStage numStages:N,multiStage numStages:N elecHeating heatingCoil equip,FALSE,a heating coil used to transfer heat energy using electric resistor with N number of stages as a heating medium,Heating_Coil
33,Heating coil,Natural gas heating coil,"An apparatus used to transfer energy into a substance through the combustion of natural gas.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",22,naturalGasHeating,naturalGasHeating heatingCoil equip,TRUE,a heating coil used to transfer heat energy using natural gas as a heating medium,Heating_Coil
34,Heating coil,N-Stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with a specific number of stages.,33,multiStage numStages:N,multiStage numStages:N naturalGasHeating heatingCoil equip,FALSE,a heating coil used to transfer heat energy using natural gas burner with N number of stages as a heating medium,Heating_Coil
35,Heating coil,Modulating DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.,24,continuous,continuous dxHeating heatingCoil equip,TRUE,NA,Heating_Coil
36,Cooling coil,Modulating DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.,25,continuous,continuous dxCooling coolingCoil equip,FALSE,NA,Cooling_Coil
37,Heating coil,Modulating electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with theoretical control capabilities of 0 - 100%.,31,continuous,continuous elecHeating heatingCoil equip,TRUE,NA,Heating_Coil
38,Heating cooling coil,Heating cooling coil,An apparatus used to transfer energy into and out of a substance.  The mode of the equipment determines whether heat should be transferred into (heating) or out of (cooling) the substance,18,heatingCoolingCoil,heatingCoolingCoil equip,,apparatus --> device/Heat Exchanger,Coil
39,Heating cooling coil,Heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",38,dxHeating dxCooling,dxHeating dxCooling heatingCoolingCoil equip,,>>,Coil
40,Heating cooling coil,N-Stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with a specific number of stages.",39,multiStage numStages:N,multiStage numStages:N dxHeating dxCooling heatingCoolingCoil equip,,>>,Coil
41,Heating cooling coil,Variable speed heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with theoretical control capabilities of 0 - 100%.",39,continuous,continuous dxHeating dxCooling heatingCoolingCoil equip,TRUE,NA,Coil
42,Heating coil,Modulating natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with theoretical control capabilities of 0 - 100%.,33,continuous,continuous naturalGasHeating heatingCoil equip,TRUE,NA,Heating_Coil
43,Heating coil,2-stage DX heating coil,An apparatus used to transfer energy into a substance using a direct expansion refrigeration cycle with two stages.,24,multiStage numStages:2,multiStage numStages:2 dxHeating heatingCoil equip,TRUE,a dx heating coil that uses either a single refrigerant compressor with two speeds or two constant speed refrigerant compressors. ,Heating_Coil
44,Cooling coil,2-stage DX cooling coil,An apparatus used to transfer energy out of a substance using a direct expansion refrigeration cycle with 2 stages.,25,multiStage numStages:2,multiStage numStages:2 dxCooling coolingCoil equip,TRUE,a dx cooling coil that uses either a single refrigerant compressor with two speeds or two constant speed refrigerant compressors. ,Cooling_Coil
45,Heating coil,2-stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with exactly 2 stages,31,multiStage numStages:2,multiStage numStages:2 elecHeating heatingCoil equip,TRUE,apparatus --> device,Heating_Coil
46,Heating coil,2-stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas with exactly 2 stages,33,multiStage numStages:2,multiStage numStages:2 naturalGasHeating heatingCoil equip,TRUE,with 2 stages burner ,Heating_Coil
47,Multi-speed fan,2-speed fan,Used to describe a fan with two discrete speeds.,16,multiStage numStages:2,multiStage numStages:2 fan motor equip,,>>,Fan
48,Discharge fan,2-speed discharge fan,2-speed fan used in the discharge air stream,47,discharge,discharge multiStage numStages:2 fan motor equip,TRUE,>>,Discharge_Fan
49,Exhaust fan,2-speed exhaust fan,2-speed fan used in the exhaust air stream,47,exhaust,exhaust multiStage numStages:2 fan motor equip,TRUE,>>,Exhaust_Fan
50,Return fan,2-speed return fan,2-speed fan used in the return air stream,47,return,return multiStage numStages:2 fan motor equip,TRUE,>>,Return_Fan
51,Heating cooling coil,2-Stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with exactly 2 stages.",39,multiStage numStages:2,multiStage numStages:2 dxHeating dxCooling heatingCoolingCoil equip,TRUE,a heat pump coil that uses either a single refrigerant compressor with two speeds or two constant speed refriegerant compressors,Coil
52,Space,,,,space,space,,,
53,Space,,,52,zone,zone space,,,
54,Space,,A thermal zone or HVAC zone.,53,hvac,hvac zone space,,,
55,Heating coil,Single Stage DX heating coil,An apparatus used to transfer energy into a substance using a single stage direct expansion refrigeration cycle,24,singleStage,singleStage dxHeating heatingCoil equip,TRUE,a dx heating coil that uses a single/constant speed refrigerant compressors. ,
56,Cooling coil,Single Stage DX cooling coil,An apparatus used to transfer energy out of a substance using a single stage direct expansion refrigeration cycle,25,singleStage,singleStage dxCooling coolingCoil equip,TRUE,a dx cooling coil that uses a single/constant speed refrigerant compressors. ,
57,Heating coil,Modulating hot water coil,"An apparatus used to transfer energy into a substance using hot water flowing through a coil.  It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",28,continuous,continuous hotWaterHeating heatingCoil equip,TRUE,a heating coil with contineoues control capability using hot water as a heating medium,
58,Heating coil,Modulating steam coil,"An apparatus used to transfer energy into a substance using steam flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",29,continuous,continuous steamHeating heatingCoil equip,TRUE,a heating coil with contineoues control capability using steam as a heating medium,
59,Cooling coil,Modulating chilled water coil,"An apparatus used to transfer energy out of a substance using chilled water flowing through a coil. It is recommended to further refine this with a controlStrategyType (singleStage, multiStage, continuous).",30,continuous,continuous chilledWaterCooling coolingCoil equip,TRUE,a cooling coil with contineoues control capability using chilled water as a cooling medium,
60,Heating coil,Single stage electric heating coil,An apparatus used to transfer energy into a substance using electric resistance with a single stage.,31,singleStage,singleStage elecHeating heatingCoil equip,TRUE,a heating coil using single stage electric resistor to transfer heat energy ,
61,Heating coil,Single stage natural gas heating coil,An apparatus used to transfer energy into a substance through the combustion of natural gas using a single stage.,33,singleStage,singleStage naturalGasHeating heatingCoil equip,TRUE,a heating coil using single stage natural gas burner to transfer heat energy,
62,Heating cooling coil,Single stage heat pump coil,"A heating cooling coil using a reversible, direct expansion refrigeration cycle with a single stage.",39,singleStage,singleStage dxHeating dxCooling heatingCoolingCoil equip,TRUE,a heat pump coil that uses a single/constant speed refrigerant compressors to transfer heat energy,
63,Air Handler,,,18,ahu,ahu equip,,,
64,,,,,,,,,